,gene_expression,expression_level,cell_line,time_point,expression_pattern,western_blot,protein_level,western_blotting,western_blot_analysis,pcr_product,expression_profile,protein_expression,mrna_level,transcription_factor,signaling_pathway,target_gene,growth_factor,stress_response,protein_kinase,rna_binding_protein,climate_change,gene_family,genome_sequence,datum_set,plant_genome,gene_duplication,gene_tree,protein_sequence,material_online,gene_pair,genome_duplication,reference_genome,sequence_similarity,duplication_event,genome_size,species_tree,copy_number,c._jejunus,cell_cycle,cell_death,dna_damage,room_temperature,cell_proliferation,cell_division,s_phase,stress_granule,dna_replication,cell_growth,flow_cytometry,cell_cycle_progression,t_\_t,scale_bar,\_t,error_bar,_,\_usepackage,%_ci,\_u2009,p_value,mm_nacl,stem_cell,t_cell,cell_type,breast_cancer,dna_methylation,cancer_cell,tumor_cell,b_cell,bone_marrow,progenitor_cell,control_group,hh_signaling,amino_acid,plasma_membrane,amino_acid_sequence,sequence_alignment,figure_supplement,crystal_structure,binding_site,b._napus,table_s1,candidate_gene,b._rapa,table_s2,table_s3,linkage_group,animal_model,motor_neuron,mouse_model,zebra_finch,risk_factor,brain_region,a._thaliana,plant_species,land_plant,arabidopsis_thaliana,cell_wall,flowering_plant,p._patens,seed_plant,group
gene_expression,3448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6170499498490649,0.5291038200479307,0.5935935199347483,0.2671404187623418,0.5188133898405523,0.3464780406035618,0.4271109935152007,0.24787929326860067,0.33230068736790164,0.34252130926644336,0.24210143823918706,0.2732886052354686,0.45733305171578675,0.2242309571425538,0.35256048957915875,0.23546277116300882,0.32978693537602444,0.4358362600174375,0.3667774175031031,0.31972539229411934,0.35338964779879967,0.30281028009732913,0.1298568758740125,0.522694521867368,0.32490786608301464,0.5112835996054655,0.3500308064220781,0.28686809439804606,0.158848278588208,0.5913614648116702,0.47763874410446855,0.3212217715111901,0.32605489644322144,0.5194685150745548,0.4720315448990376,0.2366476796643599,0.5581950309912238,0.11515243956552736,0.0782146924789763,0.13291647780236518,0.24049353236750193,0.029915250593213746,0.13788603700869928,0.11953846324316819,0.14657881751185836,0.2133262930924323,0.0787389431540646,0.3754726012638438,0.3807485858716205,0.5207229793320284,0.4552115693113313,0.7010706032254748,0.5111739604801713,0.4159250337892216,0.415888016796596,0.19438988617793446,0.35059352864704973,0.31938487054352677,0.5567857403252572,0.02382667970388902,0.1747849902408834,0.2218637566297726,0.2384101560910005,0.2515579500812903,0.23498004970907682,0.3284344566502959,0.1761127889984247,0.23994214250103854,0.40653008048961137,0.10638804335537813,0.25530780454794755,0.21613317879336394,0.10972998477519644,0.3114041447486434,0.20083764331219278,0.33922580611472763,0.2761844527715228,0.2280062980592843,0.4538160325601003,0.17865520711202795,0.24806925310829364,0.2915083692936674,0.21784343975336523,0.28252079229148075,0.31280820327467024,0.17899414405921954,0.2586911098412116,1
expression_level,1.0,2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5261460008534086,0.433294874392628,0.5760567202823044,0.2836095011533084,0.3996778030468153,0.29422546178800474,0.31961690407912924,0.16663583268549456,0.3803291629093871,0.3079222033316261,0.27744951498859516,0.19916060363420113,0.30858206200323474,0.24683994812745327,0.3720586126953811,0.316772391933269,0.37781159910187756,0.31354465516234986,0.4516489212792419,0.4087021872593593,0.3171915843694497,0.27510018329818103,0.18468962710483855,0.550079138690049,0.22962614115340035,0.4034621241556169,0.2573382085689636,0.15681352168618007,0.20355321094128478,0.4785374358259193,0.31806390279247954,0.27286062332140615,0.2514750325273909,0.3015512150257184,0.3920212052129127,0.259390240992987,0.44042190008036175,0.12601126290104867,0.1477272077518944,0.14790398532841226,0.35635154252549345,0.16152941746140487,0.1591113783646055,0.20251155457143857,0.14217899019162203,0.3795770831580848,0.13474735309000285,0.3137233516952438,0.28151057450762706,0.457263162840229,0.4546802020291391,0.39196622195106345,0.48354132684715545,0.37463525420876004,0.30845146473188373,0.17539418164050838,0.32159514639643183,0.40710998664461484,0.47644715303055474,0.08529735135754363,0.25491786307110387,0.30466211141554556,0.2807675317018477,0.19956170494167413,0.18842518661199292,0.33026139455293635,0.2242110344085474,0.31276510087137765,0.4211155830498887,0.1689104727124413,0.39329802480151876,0.32076814505499385,0.24343150635465954,0.23529909141967917,0.15871543980827207,0.29092431817374576,0.1868918979102751,0.21093033767958744,0.2900692169593714,0.2954161667980151,0.27365885191600137,0.2718906056360392,0.2387796452937377,0.24563486383598365,0.24834970949647858,0.24942664916648172,0.23365284667547487,1
cell_line,1.0,1.0,1789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39308757335679084,0.4796531104779982,0.4208083017763782,0.41355586734133265,0.3054038073691606,0.3710635958045146,0.3613909858397175,0.16352344034565347,0.23762527553636226,0.29176481641422036,0.28747399564085835,0.17536800245940548,0.20423112036121083,0.22080842016623448,0.32019167705760165,0.23966957885126533,0.12104400521702553,0.20472745715752189,0.3249952422933699,0.2970868259169467,0.17582341795349912,0.22459118192775301,0.16304637434394892,0.3924391510764301,0.3804374946798227,0.5115724118816518,0.4830546926042421,0.34451630104331865,0.2817594106475278,0.5774079960324442,0.4080329699972146,0.37819397287938805,0.36337547293671774,0.3842879170440868,0.5243626165268394,0.36173197382627964,0.5116700423554461,0.1606965154723488,0.13272544091140334,0.16597637453785644,0.25618790724568363,0.037143774985086746,0.20371193144283486,0.09979925880415129,0.11492653564718233,0.2858520854672545,0.1192217794236413,0.5321253175129076,0.40799302559559497,0.633258255194908,0.6357635715505605,0.4702000982754582,0.7391044563641251,0.6017212501509439,0.4458515406419007,0.3265107005022858,0.5205917196191879,0.3617766345702178,0.6110157157096774,0.2144941248899982,0.2892096214928199,0.26763629515603016,0.2693014542313827,0.3029877878161222,0.2589127103393605,0.3983592571312708,0.17342210840772868,0.30375075326176004,0.23039135275213946,0.02711697734203001,0.3319669720099068,0.2745101015373748,0.17020840707111495,0.35928270205765744,0.29549772071788216,0.4094552154349832,0.13787911882833098,0.24460503974030473,0.28195377445242054,0.09549152653216442,0.20373286283921194,0.2130437084217343,0.11841548151777886,0.24038722227130663,0.19669471235902602,0.21716527424427245,0.1799292106413185,1
time_point,1.0,1.0,1.0,1545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20941125481822973,0.2608214720498614,0.3363758264303531,0.1854855761323331,0.27630388117473037,0.12733003193254683,0.12021260212433461,0.18585123223986963,0.19427881883875164,0.10843529659822236,0.2712018527057769,0.10366736970207488,0.13538080936716276,0.2415066350868276,0.12901868108549833,0.19484855636232729,0.23112918402256388,0.1858233782559845,0.2042896604530841,0.10653314405115791,0.20884089409217652,0.09983671910546892,0.24094207145548854,0.16810679035964782,0.20447617713370075,0.4605649259650901,0.31584418377549534,0.30839801117193033,0.43937103378328457,0.3128174385067488,0.35910389806891996,0.417515527590278,0.25467129844039565,0.38154455865193293,0.32281785816072817,0.36401005610204157,0.37947197939323646,0.17404147817949656,0.2822216621859037,0.19674389109947218,0.5372473494718265,0.12865511040443592,0.22474819671894006,0.1407822876131769,0.1381716657416294,0.37607096298161924,0.2027577195203637,0.16003427322627273,0.18645298698461682,0.36954523959147506,0.1499851296748372,0.18874975679359046,0.17770175471394745,0.23790174218830334,0.18640783107464984,0.23267445847185558,0.20563005269896445,0.4336918431840756,0.22848717625584583,0.054557054121053807,0.15352873724639401,0.07074261432392447,0.10100001552420755,0.24296388864846152,0.09973353690567777,0.12922028882114683,0.14078911526435195,0.17513308521104612,0.23947183651237872,0.19182836527703337,0.17676786665686223,0.12031527299498969,0.16703309438723607,0.18163723455597827,0.0782694235290442,0.16093544674204832,0.18682563472993555,0.23833045809644424,0.277535240561402,0.12909340007441206,0.17057438717558715,0.23510688548292322,0.05861834720453392,0.21575049556722145,0.19163816906447273,0.17944864899615146,0.22335346501997044,1
expression_pattern,1.0,1.0,1.0,1.0,1305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5331282832796777,0.4571820647838699,0.5097425626740298,0.1270335912317192,0.4554387505753021,0.2796340441063998,0.3363898330655921,0.19845509978641812,0.5048594946439723,0.3379487872958341,0.3105893762400951,0.2875554901491071,0.4820763888865627,0.30399578616927836,0.44214117628417327,0.3998946457728109,0.42733588664634914,0.4234545510818013,0.38731365237649906,0.42874465924755484,0.43936312161145197,0.1994974833452558,0.22989580930161752,0.4427731732592037,0.19183205448127105,0.3897807600909318,0.2423606219983103,0.14006213609134655,0.19768922127980512,0.37231384953353847,0.36073039496339876,0.2227654297598084,0.27486863196519473,0.26018665392373325,0.27521318817035,0.20459239490271355,0.37764281703910885,0.12421533948671865,0.1862724734619125,0.16964085086890807,0.20327801542898521,0.12736516095655245,0.15723175367036804,0.07243989434180698,0.14272261145440213,0.21543916303585844,0.10463413516338564,0.3884965350385528,0.2889050864084167,0.5489124901741175,0.40811227894912133,0.4596838049971257,0.43048782508678385,0.32401471034824314,0.31099543380145767,0.18982404580403753,0.3483549634837271,0.22843202665860216,0.4720221336581004,0.10006851428187276,0.3008006476333805,0.39169627775486265,0.3698376324739474,0.25093645710446033,0.31143174192078205,0.3459794536709338,0.3333654879749426,0.33699086169934483,0.4515807705831253,0.27750285549675535,0.3884636054249442,0.3488808553617999,0.240549845108512,0.23518454392351773,0.20358256006634273,0.2936888780095586,0.25383830287187475,0.1435920919057715,0.3784178291031831,0.42587051314735913,0.41015888966921255,0.4374546521531215,0.3784514596354154,0.3622009076613042,0.43058485055312423,0.40669840255500955,0.44495884327025326,1
western_blot,1.0,1.0,1.0,1.0,1.0,1016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17713904630252514,0.26179610659239255,0.31342387567984137,0.20757107520244833,0.20154120770605355,0.2675743815860251,0.2578311734282399,0.13710213734207422,0.10868665378914259,0.15543189792149248,0.15280081089945438,0.07803464614858147,0.0854175947044823,0.10004568328948801,0.2779535344441968,0.19286291075456072,0.07376689098858362,0.15977956076187616,0.15386929657084739,0.17333277530484034,0.09427608016768188,0.08187350246179831,0.1319854631481392,0.20008659369367043,0.17851250354685116,0.3444736342902528,0.36779909017650714,0.2660027018466755,0.41165453164284804,0.3679693858971176,0.1348755959793027,0.2979092239604848,0.31327042535449984,0.2435136859133878,0.3560399245101482,0.4359209241799524,0.3512868300943808,0.20373184133365346,0.31176243946363336,0.2257939414527527,0.36681676902792093,0.20395648308618164,0.23633693429588476,0.13238674833528577,0.11309481355926768,0.27031072316043414,0.3195012628382994,0.1515587833326472,0.23993531602022705,0.25986601651581054,0.3203351041443935,0.09378934804902969,0.3513181012029306,0.31206357163944975,0.24448029131945417,0.22021942428449814,0.1776623457844289,0.3664984300307758,0.32070601780888275,0.17871504860233817,0.3284411825016439,0.2591214199826186,0.24123312537371486,0.2567992871536422,0.23160811428740435,0.21884698932166574,0.046769996461463646,0.22898605547110315,0.12686226182599059,0.0680376154311716,0.22354517710347896,0.1641328880651254,0.07688766983873266,0.2402899957706157,0.27105023489421237,0.3005674151725645,0.14264999522791746,0.16847798240704248,0.17818256168995633,0.0812215940343197,0.08915022473725126,0.09938183600745853,0.06003168804333733,0.13336680621346425,0.06884836754812804,0.11984939330765414,0.0692890909002097,1
protein_level,1.0,1.0,1.0,1.0,1.0,1.0,923,1.0,1.0,1.0,1.0,1.0,1.0,0.4092899655102199,0.4616272635360503,0.4893270439140658,0.34514103024836734,0.38861837898751117,0.4087229089620288,0.385537250222978,0.16585942372306625,0.24544403195068568,0.3260991010430478,0.23889908447662314,0.19814597174732226,0.2634143940448051,0.22817003728010504,0.4104472646957204,0.33916067112416914,0.23247848238462832,0.32412149380869537,0.31389858697324124,0.36939378347692475,0.24850266662186304,0.29186909737638483,0.1857029869778402,0.4757292714123429,0.30215007902874974,0.4712681404488983,0.36488572957460447,0.3185718198321542,0.3008087805663754,0.5822754168199457,0.31631356822945356,0.3947646711555053,0.36388547035009156,0.40758888834366824,0.5288247987408612,0.3513447908989074,0.5301269488146099,0.17433146340199634,0.1463466938708039,0.20006323288781885,0.3022082270444183,0.10282343690833673,0.20588568505520963,0.2313391714237003,0.11808864249772288,0.23969576010013133,0.1726820355577227,0.25083206809683645,0.3078576629922085,0.36985903528781927,0.46131935774508626,0.3572669464991248,0.5062821810168701,0.37649661725445893,0.29034573011018494,0.2340719223026274,0.3131393761783495,0.47093257399262445,0.5014522090353686,0.20209611324669102,0.318950087174091,0.3165650086869237,0.28117648425058,0.31460908516036157,0.2969600964021355,0.31153513502983543,0.14716386622026784,0.2675748411359687,0.28036460503638905,0.11649580576773849,0.29870316364694705,0.21740276039746892,0.09951543086953357,0.323343118463037,0.22139314711293984,0.36803029184478164,0.2113044869557517,0.26324847720121525,0.3157741296191231,0.1760257725620607,0.17721450298985614,0.22718578582178478,0.1081438241009497,0.23556657592576036,0.1816321295198741,0.16563661713358624,0.16675137459752198,1
western_blotting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,747,1.0,1.0,1.0,1.0,1.0,0.2337561938553831,0.3258629101326704,0.32898543056472374,0.25576036685991965,0.23609999184441896,0.3071858239540174,0.26350977320965635,0.1532800091371056,0.1657745279149516,0.1950628240134445,0.16805806255829697,0.12567976228559735,0.14282025927005537,0.1387084757359963,0.31950813755595125,0.2345740427758225,0.1037808506394353,0.21217794889903824,0.18009738063679712,0.1987866058836436,0.14416830529833263,0.10323060587753519,0.17893512434593092,0.2602647775197687,0.2377121958428406,0.3653139532703489,0.363945749616754,0.2858112125740768,0.42940892825886473,0.40060125096828514,0.16947991616047547,0.3140661137429678,0.29101483684660034,0.2550082028712354,0.39691236707900357,0.4645331700965476,0.3872979638962143,0.21283568492635313,0.2569350281315751,0.23186741597844307,0.32863050314116704,0.18579551784498785,0.252103015557262,0.11835151585449441,0.08428688139522789,0.2775545531229021,0.34168987962909747,0.18399683305966014,0.26803805242049983,0.2673691947388317,0.3561102560309083,0.10890084684634302,0.40162517003981424,0.36303601144741204,0.2681221064851491,0.23787661410780447,0.19576712286405684,0.39387127904941854,0.3517077393103571,0.20435217532149708,0.32739346698552346,0.28728418977956455,0.2938534851387875,0.31964788739741556,0.26001686834143145,0.24395808425650042,0.07134463819691153,0.24730748543452163,0.1664382106083186,0.07489393064354513,0.23814440159883055,0.19029868805207584,0.131855890515155,0.2437014497709529,0.21433135997635405,0.29976041907652334,0.11124967305565844,0.20590133335357902,0.14822734366491186,0.10669402064427,0.12699962820671895,0.11406100323808697,0.07707857194125185,0.17992773392354394,0.09349133149604681,0.13058156907893412,0.07905313641367409,1
western_blot_analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,710,1.0,1.0,1.0,1.0,0.29245760230709694,0.35211668863821827,0.38224325821537436,0.252801953328521,0.26860190291960057,0.32765773671632714,0.28714350756858414,0.10447924902568972,0.1357382101145302,0.22256143180266913,0.12941221000282885,0.09952609312964264,0.1438179576974425,0.08900721545890664,0.3099260294492933,0.21054723197664815,0.07330203332859792,0.22572814361658702,0.19638378588958805,0.20382199348473362,0.15431695779357052,0.1346793078273586,0.10185494292600675,0.25855794623294626,0.2686823561030385,0.3831692977614966,0.4389215078478922,0.2920839893849276,0.43811129198410237,0.47824635685682815,0.2200681978663878,0.32906993365935666,0.3110642061363903,0.3174843493473323,0.4290200169791419,0.46708358247505277,0.41874988339111563,0.24124759577387514,0.2941358788151255,0.25806517909287563,0.379960094739126,0.20501544009513478,0.2701840072920796,0.1506768082952456,0.11678635992397937,0.2861962530253795,0.31411777133428975,0.2531966689398035,0.3151508078424935,0.3139422409992637,0.3671689497096215,0.20118131138537076,0.42274726067371554,0.357797881787575,0.3034517236137413,0.30102258224768186,0.28403936412313535,0.4288838265342657,0.4456894485408903,0.171367694307682,0.3301456095765253,0.27898287573909397,0.2692742682249999,0.31008337489560933,0.23195674242063352,0.27244777104624107,0.09201837634387088,0.27987031458689554,0.20057028881643674,0.07536086667932737,0.2693997242841937,0.21529512750467084,0.14994413081603458,0.2595588927329094,0.27508380708865154,0.36427282928667803,0.14319740735788877,0.22276895438351937,0.18689783151666745,0.08323584475388722,0.09702043795456423,0.10296243659458733,0.0795006450813001,0.17846570336699052,0.11028974663254029,0.12836489697676712,0.0919039021449637,1
pcr_product,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,642,1.0,1.0,1.0,0.1938973804839082,0.152008094110462,0.35823680842458827,0.15730878345248242,0.1328818620830467,0.1950232301583272,0.2228955407721197,0.16354461782911434,0.22586611146559793,0.35620532935795995,0.22436551909853963,0.22146322949191347,0.21780418421136488,0.14209072672498546,0.3673043259347819,0.298213375717006,0.16786944459000244,0.21888152649336573,0.4438034048391699,0.3317965366235824,0.31159891181503613,0.21169622246748743,0.19609506516861316,0.3484089204348949,0.31231150359420634,0.18884560797312,0.1652283895755951,0.21097009781801354,0.40375958450478017,0.1702430914471008,0.16383516400942094,0.2614549100734793,0.18908513242899114,0.3104342611521891,0.1391212459231257,0.21089315081905302,0.20882767557506832,0.20199157151771496,0.20160374654533036,0.22265229565593211,0.2027328342974739,0.22732720432968206,0.3079671116496786,0.2279093666478401,0.17551100274394638,0.1932785537044776,0.2923682714144922,0.2847012608495905,0.24195836336077484,0.2564845344162063,0.22097341112402252,0.20712376665294088,0.2307875429256533,0.20831826677103432,0.20965463331245837,0.1861289223745023,0.26147529389065605,0.29930464962542436,0.20344553549306565,0.2750979583021659,0.1572889346866246,0.4121347597912878,0.3606362868158436,0.243323146473795,0.2112762244297039,0.38270269166717125,0.22054875629525572,0.4886324837511121,0.3330511073485429,0.1733873633761433,0.45434739520293965,0.4172525251342551,0.38365049094665404,0.16605530584077188,0.23180630366915445,0.17875982441731628,0.28635316895475205,0.14756889587029093,0.16144077225558806,0.16196427591924334,0.2312390266303308,0.19819563007544733,0.14372461529637157,0.13173624924572824,0.17139051911342534,0.2656426857680744,0.2140826546920013,1
